date,equipment_id,temperature,pressure,maintenance_required
2021-01-31,79,25.388048117501736,20.41147430264012,0
2021-12-30,85,66.57363681410186,46.28780122823319,1
2020-05-10,14,47.67064455623654,36.82929247623336,1
2021-07-18,66,69.67324142139816,32.4176252392176,0
2021-02-04,75,23.65936270500103,14.439578768539242,1
2020-12-31,51,89.7229444921901,27.882221752257017,0
2022-09-21,38,97.87911753419175,28.41433084807705,1
2020-11-10,64,97.51022842285532,44.582544380906796,1
2022-06-27,98,79.97214653943398,31.865928807511537,1
2018-05-02,38,30.406899210450558,25.216021958816384,0
2019-04-12,50,80.6610556743218,49.07201314042637,1
2021-05-23,98,21.96695331670412,14.428823733052628,1
2018-11-27,82,21.76988412231978,26.901937132477784,0
2022-01-22,30,45.8888175319633,11.680987006856212,1
2018-03-29,79,59.091455232373264,39.59616483067721,0
2021-10-28,91,81.63259342462345,46.72306208796603,0
2021-01-28,51,74.66363012852042,21.201493182019576,0
2020-05-21,63,55.67221651013987,44.33366707196483,0
2022-08-15,98,41.89013330253327,21.68872921847591,0
2018-05-11,52,99.76996001261689,46.43080646575661,1
2022-08-13,38,54.094504178877834,40.158476143871354,0
2021-08-25,97,56.11096194637404,42.19627107365754,0
2020-02-09,88,33.089905695333535,10.72026222401818,0
2018-12-10,79,83.58476389999436,48.51241428296104,0
2022-02-24,30,75.49457806251908,39.066839682812926,1
2021-12-08,51,37.66156902310083,22.190043815445332,0
2020-03-16,81,26.590483649267416,43.17578659435388,1
2019-01-21,5,74.43994416597704,21.260847936597198,0
2021-04-30,29,72.36089714249081,44.910153582645115,1
2020-08-13,4,41.86076215985675,14.50321561647748,0
2018-10-04,10,96.06908498003283,38.14743909843183,0
2021-03-30,56,32.08463134247202,31.62793906579641,1
2019-04-05,17,54.586784083408155,13.861378807817633,0
2021-08-30,74,95.4892736134079,19.67575313035356,1
2018-01-22,17,53.57818535408978,10.496161451092592,0
2018-09-10,84,71.08207581312683,28.750718618580233,1
2020-01-18,88,51.80755183702354,22.050610430400013,0
2020-05-06,69,41.937216187893604,33.934299371910356,0
2022-05-04,34,98.71821183678625,21.88951230834469,1
2019-04-20,6,52.74672050520344,21.996764460279387,0
2020-12-18,53,91.52793629433076,39.727727949264136,0
2019-05-26,66,38.39636847128689,11.925713439134139,0
2022-09-02,77,37.04837632200666,46.11579980767949,0
2022-02-08,43,22.49072663076091,44.09055497564726,0
2019-12-01,75,72.13334603007081,36.71218732905626,0
2020-09-02,23,49.48210749790089,33.728862804295375,1
2022-12-12,55,89.14865998717096,45.69209992558609,1
2018-07-09,80,57.85679253532457,17.41320718114858,1
2020-08-15,95,97.45547423317774,13.158766487633144,0
2019-11-18,75,34.84204125624969,19.580406796381524,1
2020-08-15,16,89.48985343644887,41.78313114800761,0
2019-07-17,8,82.12774822333934,11.386810669059333,0
2022-05-10,4,81.67374757152416,33.31227340333959,0
2021-06-21,4,87.58265824935101,49.817500647652395,0
2020-04-11,56,80.88191927543991,44.227843753501574,1
2022-03-09,25,70.09762573051323,30.857827561743576,0
2021-02-28,67,30.499590214591006,12.545636371465694,1
2022-02-17,96,22.602094359300153,43.25494057542839,0
2019-10-09,67,93.66782782525495,33.95914032708842,1
2018-01-21,27,69.33202516165905,14.597319882382674,1
2020-04-20,93,83.7229832780941,13.754291392934249,1
2018-06-16,32,58.52178812100401,46.3850727774637,1
2021-07-21,50,29.38465511699156,36.76801051752314,1
2019-01-23,61,30.014863376204033,43.17147197267022,1
2019-08-24,51,74.84522297831771,45.15915601129069,0
2018-11-12,19,54.424471591957015,32.87089408193289,1
2018-01-14,21,36.04197813602694,30.69785407020165,0
2018-08-30,5,59.327563739314954,27.21709641283961,1
2020-02-16,82,25.13671496601073,22.677863511644773,0
2021-10-01,92,66.5577121531519,27.38383843434847,1
2019-07-19,42,41.51947235480782,40.955186229206255,1
2020-06-16,61,83.80472805097506,34.07693724060526,0
2021-09-25,22,44.8289567138859,45.70093159819385,1
2018-04-02,21,56.4176119265441,27.73520057516751,1
2021-10-22,70,20.92964319264805,34.28358314875016,1
2020-08-13,1,25.795751023564712,35.25230212367955,0
2022-01-18,5,51.399484512534784,33.66788649225302,1
2021-12-22,12,58.39510677736988,38.10535092342065,0
2019-05-24,90,68.0016438495443,19.49733873499225,1
2020-02-15,46,43.33300629674426,30.494551101831625,1
2018-02-04,34,75.5985508901234,14.168992112333907,0
2018-07-25,49,88.80979177513636,25.3804531057925,1
2021-01-09,78,82.38807911146799,29.506682744850576,1
2022-05-05,90,23.16950602786857,36.088970381818896,0
2021-11-12,45,58.44055578062631,48.02124210344814,1
2020-10-22,27,28.39441427345399,34.026042661934234,0
2020-10-18,73,39.363601269002196,39.74375664706239,0
2021-11-14,26,98.93300746137172,30.25064237980811,0
2019-07-20,47,31.39964343212106,35.364161255053254,1
2021-02-03,86,59.911052276108485,12.837288645350938,0
2022-12-01,56,69.45245874544952,20.17566323367388,0
2022-02-09,94,76.19719764352831,24.474123728205548,1
2019-12-04,63,64.77189467895313,28.899734200260543,0
